StoreName,City,Province,FullProvinceName,FullAddress
Highstreet,Abbotsford,BC,British Columbia,"Unit J165 - 3122 Mount Lehman Road, Abbotsford, BC V2T 0C5"
Brentwood,Burnaby,BC,British Columbia,"#2-4615 Lougheed Highway, Burnaby, BC V5C 0K3"
Market Crossing,Burnaby,BC,British Columbia,"7300 Market Crossing, Burnaby, BC V5J 0A2"
Old Orchard,Burnaby,BC,British Columbia,"Unit 1-4429 Kingsway Ave, Burnaby, BC V5H 2A1"
Discovery Harbour,Campbell River,BC,British Columbia,"130 – 1416 Island Hwy, Campbell River, BC V9W 8C9"
Chilliwack,Chilliwack,BC,British Columbia,"Unit B - 45460 Luckakuck Way, Chilliwack, BC V2R 3S9"
Washington Park,Courtenay,BC,British Columbia,"Unit 2A - 795 Ryan Road, Courtenay, BC V9N 3R6"
Victoria Avenue,Cranbrook,BC,British Columbia,"102 - 425 Victoria Avenue North, Cranbrook, BC V1C 6S3"
Scottsdale Mall,Delta,BC,British Columbia,"Unit 7019 – 120th Street, Delta, BC V4E 2A9"
North Gate,Fort St. John,BC,British Columbia,"10211 100 Street, Fort St. John, BC V1J 3Y8"
Columbia Place,Kamloops,BC,British Columbia,"200 - 1210 Summit Drive, Kamloops, BC V2C 6M1"
Lansdowne,Kamloops,BC,British Columbia,"215 - 450 Lansdowne St, Kamloops BC, V2C 1Y3"
Northills,Kamloops,BC,British Columbia,"40 – 700 Tranquille Rd, Kamloops, BC V2B 3H9"
Dilworth Shopping Centre,Kelowna,BC,British Columbia,"2385 Hwy 97 N, Kelowna, BC V1X 4H9"
Willowbrook,Langley,BC,British Columbia,"Unit 150 – 20202 66th Ave, Langley, BC V2Y 1P3"
Lougheed Highway,Mission,BC,British Columbia,"Unit D130 31956, Lougheed Highway, Mission, BC V2V 0C6"
Country Club,Nanaimo,BC,British Columbia,"104-3250 Island Hwy N, Nanaimo, BC V9T 1W1"
Woodgrove Crossing,Nanaimo,BC,British Columbia,"Unit 2 - 6683 Mary Ellen Drive, Nanaimo, BC V9V 1T7"
Queensborough SmartCentres,New Westminster,BC,British Columbia,"L110 - 805 Boyd Street, New Westminster, BC, V3M 5X2"
Norgate,North Vancouver,BC,British Columbia,"1461 Marine Drive, North Vancouver, BC V7P1T6"
Park and Tilford,North Vancouver,BC,British Columbia,"800-333 Brooksbank Avenue, North Vancouver, BC, V7J 3S8"
Southwinds,Oliver,BC,British Columbia,"225 - 5717 Main St, Oliver, BC, V0H 1T9"
Wembley,Parksville,BC,British Columbia,"Unit 7 - 826 Island Hwy W, Parksville, BC V9P 2B7"
Power Centre,Penticton,BC,British Columbia,"106 - 2210 Main St, Penticton, BC V2A 5H8"
Pacific Rim,Port Alberni,BC,British Columbia,"303 – 3555 Johnston Road, Port Alberni, BC V9Y 8K2"
Nicola,Port Coquitlam,BC,British Columbia,"109- 985 Nicola Avenue, Port Coquitlam, BC, V3B 8B2"
Oxford Crossing,Port Coquitlam,BC,British Columbia,"4110-1971 Lougheed Hwy, Port Coquitlam, BC V3B 0K2"
Town Centre,Powell River,BC,British Columbia,"115 – 7035 Barnet Street Powell River, BC V8A 1Z9"
Pine Centre Mall,Prince George,BC,British Columbia,"3111 Massey Drive, Prince George, BC V2N 2S9"
Spruceland,Prince George,BC,British Columbia,"737 Central Street West, Prince George, BC V2M 6Z6"
WestGate SmartCentres,Prince George,BC,British Columbia,"E1 - 6111 Southridge Avenue, Prince George, BC, V2N 6Z4"
West Park,Quesnel,BC,British Columbia,"Unit 25 - 155 Malcolm Dr, Quesnel, BC V2J 3K2"
Uptown,Saanich,BC,British Columbia,"Unit E-109 3561 Blanshard Street, Victoria, BC V8Z 0B9"
Tsain-Ko Village,Sechelt,BC,British Columbia,"701 – 5500 Sunshine Coast Hwy, Sechelt, BC V0N 3A2"
Skeena Mall,Terrace,BC,British Columbia,"103 – 4761 Lakelse Ave, Terrace, BC V8G 4R9"
Waneta Place,Trail,BC,British Columbia,"122 - 8100 3B Hwy, Trail, BC V1R 4N7"
Vanderhoof,Vanderhoof,BC,British Columbia,"2444 Burrard Ave, Vanderhoof, BC V0J 3A0"
SmartCentres,Vernon,BC,British Columbia,"300A - 2401 58 Avenue, Vernon, BC, V1T 9T5"
Boitanio Mall,Williams Lake,BC,British Columbia,"130 – 850 Oliver Street, Williams Lake, BC V2G 3W1"
