StoreName,City,Province,FullProvinceName,FullAddress
Altona Motor Hotel,Altona,MB,Manitoba,61 Centre Avenue East
Buddy Guy Cannabis,Altona,MB,Manitoba,Unit 1 - 45 4th Avenue Northeast
Four Winds Motel,Altona,MB,Manitoba,6163 PTH 30
Amaranth Liquor & C-Store,Amaranth,MB,Manitoba,108 Kinosota Road South
Lake Trail Convenience,Anola,MB,Manitoba,934 Dugald Road
The Vault Cannabis,Arborg,MB,Manitoba,145 Sunset Boulevard
The Vault Cannabis,Ashern,MB,Manitoba,20 Main Street
Cottage Country Cannabis,Beausejour,MB,Manitoba,724 Park Avenue
Midnight Show,Beausejour,MB,Manitoba,612 Park Avenue
Border Town Buds,Boissevain,MB,Manitoba,Unit 1 - 550 Mill Road
Brandon Vape SuperStore & Cannabis,Brandon,MB,Manitoba,Unit B - 1860 18th Street North
Canna Cabana,Brandon,MB,Manitoba,Unit 4 - 930 18th Street
Delta 9 Cannabis Store,Brandon,MB,Manitoba,Unit 48 - 1570 18th Street
Flamingo + Cannabis,Brandon,MB,Manitoba,Unit 1 - 2637 Victoria Avenue
Garden Variety,Brandon,MB,Manitoba,Unit 1B - 1350 18th Street
Tokyo Smoke,Brandon,MB,Manitoba,628 18th Street
Tokyo Smoke,Brandon,MB,Manitoba,Unit 3 - 915 18th Street North
Tokyo Smoke Tweed,Brandon,MB,Manitoba,2705 Victoria Avenue
Carberry Cannabis,Carberry,MB,Manitoba,48 Main Street
Flower and Ash,Carberry,MB,Manitoba,Unit 2 - 37 Main Street
Rural Buds Cannabis Shop,Carman,MB,Manitoba,9 Centre Avenue West
Fireweed Cannabis,Churchill,MB,Manitoba,Unit A - 353 Kelsey Boulevard
Delta 9 Cannabis Store,Dauphin,MB,Manitoba,Unit 2 - 1351 Main Street
Payson's Joint,Dauphin,MB,Manitoba,207 Main Street North
Tokyo Smoke Tweed,Dauphin,MB,Manitoba,Unit D011 - 1450 Main Street South
Big Town Buds,Deloraine,MB,Manitoba,111 Broadway Street North
Leaf Lady Herbal Dispensary Ltd.,Dugald,MB,Manitoba,26153 Highway 15
Payson's Joint,Flin Flon,MB,Manitoba,46 Main Street
Royal Hotel,Flin Flon,MB,Manitoba,93 Main Street
Little Green Bag Cannabis,Garson,MB,Manitoba,176 Garson Drive
Prairie Trichomes,Gimli,MB,Manitoba,Unit A - 66 First Avenue
Viking Inn,Gimli,MB,Manitoba,78 7th Avenue
The Haze Company,Glenboro,MB,Manitoba,103 Broadway Street
Baba Cannabis,Headingley,MB,Manitoba,Unit A - 5423 Portage Avenue
Bud-ees Dispensary,Hodgson,MB,Manitoba,"40 & 42 Main Street"
Hollander Motor Hotel,Holland,MB,Manitoba,101 Broadway Street
Happy Valleys Cannabis,Ile des Chenes,MB,Manitoba,Unit 4 - Meadowlark Boulevard
Prairie Trichomes,Killarney,MB,Manitoba,543 Broadway Avenue
Tango Cannabis,La Broquerie,MB,Manitoba,199 Principale Street
LaSalle Cannabis and Vape,La Salle,MB,Manitoba,67 Rue Principale
Cottage Country Cannabis,Lac du Bonnet,MB,Manitoba,Unit 2 - 100 First Street
The Vault Cannabis,Lundar,MB,Manitoba,21 Main Street
Big Town Buds Cannabis,Melita,MB,Manitoba,69 Main Street
CJ's Cannabis and Wellness,Minnedosa,MB,Manitoba,65 Main Street
Morden Vape Superstore,Morden,MB,Manitoba,Unit H - 886 Thornhill Street
Meta Cannabis Supply Co.,Morden,MB,Manitoba,300A North Railway Street
Tokyo Smoke,Morden,MB,Manitoba,Unit A - 195 La Verendrye Boulevard
Morris Super Variety / SS Cannabis Store,Morris,MB,Manitoba,150 Main Street
Rural Buds Cannabis Shop,Morris,MB,Manitoba,112 Main Street North
Prairie Trichomes,Neepawa,MB,Manitoba,374 Mountain Avenue
Mistik Cannabis NCN,Nisicawayasihk Cree Nation,MB,Manitoba,Unit 2 - 6 Otetiskiwin Drive
Urban Flavours,Niverville,MB,Manitoba,Unit 2 - 41 Main Street
The Essential Cannabis Company,Oakbank,MB,Manitoba,639 Main Street
Prairie Trichomes,Onanole,MB,Manitoba,110 Wapiti Drive
Meta Cannabis Supply Co.,Opaskwayak Cree Nation,MB,Manitoba,Otineka Mall
Essential Cannabis Company,Pine Falls,MB,Manitoba,Unit C - 18 Pine Street
Happy Stix Cannabis Company,Pine Falls,MB,Manitoba,532 Main Street
Budville Cannabis,Portage la Prairie,MB,Manitoba,1625 Saskatchewan Avenue West
Blaze N Haze,Portage la Prairie,MB,Manitoba,Unit 2B - 237 Saskatchewan Avenue East
Fire & Flower Cannabis Co.,Portage la Prairie,MB,Manitoba,Unit 5B - 2352 Sissons Drive
Olina Cannabis,Portage la Prairie,MB,Manitoba,115 Saskatchewan Avenue East
Tokyo Smoke Tweed,Portage la Prairie,MB,Manitoba,309 Saskatchewan Avenue
Rathwell Stores,Rathwell,MB,Manitoba,158 Railway Avenue
Husky - Richer,Richer,MB,Manitoba,43160 1 East Highway
The Haze Company,Rivers,MB,Manitoba,241 First Avenue
Interlake Reef,Riverton,MB,Manitoba,Unit C - 78 Main Street
Prairie Trichomes,Roblin,MB,Manitoba,Unit 122 - 2nd Ave NW
The Corktown Cannabis Company,Russell,MB,Manitoba,117 Assiniboine Street
South Shore Sales,Sagkeeng First Nation,MB,Manitoba,296 Highway 11
