StoreName,City,Province,FullProvinceName,FullAddress,PostalCode
Cannabis NB,Bathurst,NB,New Brunswick,"640 ave St. Peter Ave, Suite #PD201",E2A 2Y7
Cannabis NB,Campbellton,NB,New Brunswick,"157 rue Water Street, Unit 14",E3N 3L4
Cannabis NB,Dieppe,NB,New Brunswick,"784 boul Dieppe Blvd",E1A 9G5
Cannabis NB,Edmundston,NB,New Brunswick,"575B rue Victoria Street",E3V 3M9
Cannabis NB,Fredericton,NB,New Brunswick,"435 prom. Brookside Drive, Unit A002",E3A 8V4
Cannabis NB,Fredericton,NB,New Brunswick,"334 Queen St",E3B 1B2
Cannabis NB,Hanwell,NB,New Brunswick,"1735 Hanwell Rd unit 3",E3C 2B9
Cannabis NB,Fredericton,NB,New Brunswick,"45 allée Woodside Lane",E3C 2R9
Cannabis NB,Grand-Falls,NB,New Brunswick,"180 ch Madawaska Road, Unit #165",E3Y 1A7
Cannabis NB,Miramichi,NB,New Brunswick,"2530 route King George Highway",E1V 6W5
Cannabis NB,Moncton,NB,New Brunswick,"50 prom. Granite Drive, Unit 102",E1H 2G9
Cannabis NB,Moncton,NB,New Brunswick,"165 rue Main Street, Suite #08",E1C 1B8
Cannabis NB,Moncton,NB,New Brunswick,"824 Mountain Rd unit 4",E1C 2R8
Cannabis NB,Moncton,NB,New Brunswick,"40 rue Wyse Street",E1G 2K5
Cannabis NB,Oromocto,NB,New Brunswick,"16 prom. Commerce Drive",E2V 4T4
Cannabis NB,Perth-Andover,NB,New Brunswick,"20 F. ch. Tribe Road",E7H 3R6
Cannabis NB,Richibucto,NB,New Brunswick,"16 Allee De La Cooperative",E4W 5V8
Cannabis NB,Riverview,NB,New Brunswick,"391 ch. Coverdale Rd",E1B 3J6
Cannabis NB,Rothesay,NB,New Brunswick,"34 prom Lacey Drive",E2E 3J9
Cannabis NB,Sackville,NB,New Brunswick,"16 rue Wright Street",E4L4P8
Cannabis NB,Saint John,NB,New Brunswick,"20 ave Plaza Ave, Unit #10",E2M 0C3
Cannabis NB,Saint John,NB,New Brunswick,"55 ave Lansdowne Ave",E2K 3A1
Cannabis NB,Saint John,NB,New Brunswick,"168 ave Rothesay Ave., Suite #107",E2J 2B5
Cannabis NB,Saint John,NB,New Brunswick,"76 Germain Street",E2L 2E7
Cannabis NB,Saint John,NB,New Brunswick,"147 McAllister Dr Unit B",E2J 2S6
Cannabis NB,Shediac,NB,New Brunswick,"313-B rue Main Street",E4P 2A8
Cannabis NB,St. Stephen,NB,New Brunswick,"9316 Route 3 Old Ridge",E3L 4W8
Cannabis NB,Sussex,NB,New Brunswick,"Gateway Mall, 132 rue Main Street",E4E 3E1
Cannabis NB,Tracadie,NB,New Brunswick,"3526 rue Principale St.",E1X 1B9
Cannabis NB,Woodstock,NB,New Brunswick,"418 rue Connell St.",E7M 5R5
