StoreName,City,Province,FullProvinceName,FullAddress
Tokyo Smoke,Happy Valley-Goose Bay,NL,Newfoundland and Labrador,"27 Aspen Drive"
Atlantic Cannabis,Gander,NL,Newfoundland and Labrador,"230 Airport Boulevard"
C-Shop,Gander,NL,Newfoundland and Labrador,"100 Laurell Road"
J&D Convenience,Harbour Brenton,NL,Newfoundland and Labrador,"100 Canada Drive"
Glovertown North Atlantic,Glovertown,NL,Newfoundland and Labrador,"56 Main Street"
Oceanic Cannabis + Coffee,Clarenville,NL,Newfoundland and Labrador,"242 Memorial Drive"
OCEANIC Cannabis + Coffee,Burin,NL,Newfoundland and Labrador,"47 Main Street"
Clarenville Orangestore,Clarenville,NL,Newfoundland and Labrador,"132 Trans Canada Hwy"
Oceanic Cannabis + Coffee,Bonavista,NL,Newfoundland and Labrador,"6 Sweetland's Hill"
Atlantic Cannabis,Placentia,NL,Newfoundland and Labrador,"71 Blockhouse Rd."
Oceanic Cannabis + Coffee,Whitbourne,NL,Newfoundland and Labrador,"667 A Trans Canada Highway"
C-Shop,Carbonear,NL,Newfoundland and Labrador,"120 Columbus Drive"
C-Shop,Bay Roberts,NL,Newfoundland and Labrador,"230 Conception Bay Highway"
Atlantic Cannabis,Bay Roberts,NL,Newfoundland and Labrador,"240 Conception Bay Highway"
The Reef Cannabis Shop,Holyrood,NL,Newfoundland and Labrador,"386 CBS Highway"
C-Shop,Conception Bay South,NL,Newfoundland and Labrador,"166 Conception Bay Highway"
Tokyo Smoke,Conception Bay South,NL,Newfoundland and Labrador,"81 Conception Bay Highway, Unit 3"
Oceanic Cannabis + Coffee,Portugal Cove-St. Philip's,NL,Newfoundland and Labrador,"1910 Portugal Cove Rd."
Ryan’s ValuFoods,St. Mary's,NL,Newfoundland and Labrador,"3 Main Rd"
Green Stop MC,Paradise,NL,Newfoundland and Labrador,"1316 Topsail Road"
Atlantic Cannabis,St. John's,NL,Newfoundland and Labrador,"918B Torbay Road"
Atlantic Cannabis,St. John’s,NL,Newfoundland and Labrador,"35 Danny Drive"
The Herbal Centre,St. John's,NL,Newfoundland and Labrador,"394 Kenmount Road"
C-Shop,St. John's,NL,Newfoundland and Labrador,"55 Stavanger Drive"
Tokyo Smoke,Mount Pearl,NL,Newfoundland and Labrador,"50-60 Commonwealth Ave"
Oceanic Cannabis + Coffee,St. John's,NL,Newfoundland and Labrador,"63 O’Leary Ave"
C-Shop,Mount Pearl,NL,Newfoundland and Labrador,"150 Old Placentia Road"
Oceanic Cannabis,St. John's,NL,Newfoundland and Labrador,"286 Torbay Road"
Atlantic Cannabis,St. John's,NL,Newfoundland and Labrador,"673 Topsail Rd"
C-Shop,St. John's,NL,Newfoundland and Labrador,"260 Blackmarsh Road"
C-Shop,St. John's,NL,Newfoundland and Labrador,"20 Lake Avenue"
Newfoundland Cannabis Company,St. John's,NL,Newfoundland and Labrador,"306 Water Street"
Atlantic Cannabis,St. John's,NL,Newfoundland and Labrador,"200 Water Street"
Atlantic Cannabis,Goulds,NL,Newfoundland and Labrador,"355 Main Road"
O’Brien’s Value Grocer & Ultramar,Cape Broyle,NL,Newfoundland and Labrador,"277 Main Rd."
High North,Labrador City,NL,Newfoundland and Labrador,"1 Neal Drive"
