StoreName,City,Province,FullProvinceName,FullAddress
NSLC,Amherst,NS,Nova Scotia,"126 South Albion Street"
NSLC,Annapolis Royal,NS,Nova Scotia,"180 St. Anthony Street"
NSLC,Antigonish,NS,Nova Scotia,"151 Church Street"
NSLC,Baddeck,NS,Nova Scotia,"16 Jessica Wong Lane"
NSLC,Barrington Passage,NS,Nova Scotia,"3695 Highway #3"
NSLC,Halifax,NS,Nova Scotia,"214 Chain Lake Drive, Bayers Lake Park"
NSLC,Berwick,NS,Nova Scotia,"200 Commercial Street"
NSLC,Bible Hill,NS,Nova Scotia,"241 Pictou Road"
NSLC,Bridgewater,NS,Nova Scotia,"274 Dufferin Street"
NSLC,Halifax,NS,Nova Scotia,"5540 Clyde Street"
NSLC,Dominion,NS,Nova Scotia,"119 Commercial Street"
NSLC,Lower Sackville,NS,Nova Scotia,"752 Sackville Drive, Unit 114, Downsview Plaza"
NSLC,Eastern Passage,NS,Nova Scotia,"69 Cow Bay Road, Unit 1"
NSLC,Elmsdale,NS,Nova Scotia,"293 Highway #214"
NSLC,Eskasoni,NS,Nova Scotia,"4716 Shore Road"
NSLC,Glace Bay,NS,Nova Scotia,"142 Reserve Street"
NSLC,Guysborough,NS,Nova Scotia,"10018 Highway #16"
NSLC,Inverness,NS,Nova Scotia,"15870 Central Avenue"
NSLC,Halifax,NS,Nova Scotia,"3601 Joseph Howe Drive"
NSLC,Halifax,NS,Nova Scotia,"55 Peakview Way, Larry Uteck"
NSLC,Liverpool,NS,Nova Scotia,"50 Milton Road"
NSLC,Lunenburg,NS,Nova Scotia,"143 Victoria Road"
NSLC,Mahone Bay,NS,Nova Scotia,"372 Main Street"
NSLC,Meteghan,NS,Nova Scotia,"8714 Highway #1"
NSLC,Bedford,NS,Nova Scotia,"955 Bedford Highway, Mill Cove"
NSLC,New Germany,NS,Nova Scotia,"5117 Highway #10, RR# 2"
NSLC,New Glasgow,NS,Nova Scotia,"610 East River Road"
NSLC,New Minas,NS,Nova Scotia,"9256 Commercial St., Unit 230"
NSLC,New Waterford,NS,Nova Scotia,"3434 Plummer Avenue"
NSLC,North Sydney,NS,Nova Scotia,"125 King Street"
NSLC,Halifax,NS,Nova Scotia,"3576 Novalea Drive"
NSLC,Oxford,NS,Nova Scotia,"4930 Main Street"
NSLC,Port Hawkesbury,NS,Nova Scotia,"634 Reeves Street, Unit 1"
NSLC,Porters Lake,NS,Nova Scotia,"5240 Highway #7, Unit 2"
NSLC,Dartmouth,NS,Nova Scotia,"650 Portland Street"
NSLC,Sheet Harbour,NS,Nova Scotia,"22597 Highway #7"
NSLC,Shelburne,NS,Nova Scotia,"115 King Street"
NSLC,Springhill,NS,Nova Scotia,"21 Main Street"
NSLC,Halifax,NS,Nova Scotia,"279 Herring Cove Road, Spryfield"
NSLC,Sydney Mines,NS,Nova Scotia,"49 Pitt Street"
NSLC,Sydney River,NS,Nova Scotia,"95 Keltic Drive"
NSLC,Dartmouth,NS,Nova Scotia,"62 Tacoma Drive"
NSLC,Upper Tantallon,NS,Nova Scotia,"3650 Hammonds Plains Road"
NSLC,Tatamagouche,NS,Nova Scotia,"122 Main Street"
NSLC,Timberlea,NS,Nova Scotia,"23 Marketway Lane Unit 0205"
NSLC,Truro,NS,Nova Scotia,"6 Court Street, Truro West"
NSLC,Sydney,NS,Nova Scotia,"330 Welton Street"
NSLC,Windsor,NS,Nova Scotia,"11 Cole Drive"
NSLC,Yarmouth,NS,Nova Scotia,"104a Starrs Road"
NSLC,Halifax,NS,Nova Scotia,"6141 Young Street"
