"License Number","Municipality or First Nation","Store Name",Address,"Store Application Status",Website
CRSA1374765,BARRIE,"Pop's Cannabis Co.","534 BAYFIELD ST UNIT B","Authorized to Open",https://popscannabis.ca/shop
CRSA1179464,OTTAWA,"OLYMPIA CANNABIS BARRYMORE'S OC BARRYMORES","325 BANK ST","Authorized to Open",
CRSA1202256,STRATFORD,"CanDream Cannabis","557 DOWNIE ST","Authorized to Open",https://www.candreamcannabis.ca/
CRSA1189331,RAMARA,"SUPREME LEAF CANNABIS COMPANY","5236 HIGHWAY 12 SOUTH, UNIT B","Authorized to Open",
CRSA1211175,LONDON,"THE CANNABIST SHOP - WHARNCLIFFE N","60 WHARNCLIFFE RD N UNIT B","Authorized to Open",https://www.cannabistshop.ca/cannabis-dispensaries
CRSA1199738,HAMILTON,"VILLAGE CANNABIS CO.","275 KING ST E","Authorized to Open",https://villagecannabisco.ca
CRSA1230987,PARIS,"Chillin' Buds","1 HARTLEY AVE BUILDING A UNIT A6","Authorized to Open",
CRSA1192872,MIDLAND,TOKE,"262 KING ST","Authorized to Open",https://tokecannabis.com/locations/midland/
CRSA1206499,HALIBURTON,"GreenLeaf Cannabis","195 HIGHLAND STREET, FRONT LEVEL UNIT","Authorized to Open",
CRSA1209053,SCARBOROUGH,"Green Merchant Cannabis Boutique","33 LAPSLEY RD","Authorized to Open",
CRSA1233438,BURLINGTON,TreeTop,"796 BRANT ST","Authorized to Open",https://www.tree-top-cannabis.ca
CRSA1233909,OSHAWA,"The Nug Co.","514 RITSON RD S","Authorized to Open",https://WWW.THENUGCO.CA
CRSA1242930,BURLINGTON,"Hidden Leaf Cannabis","181 PLAINS RD W UNIT 2","Authorized to Open",
CRSA1243621,BRAMPTON,"SAGE CANNABIS","160 MAIN ST S UNIT 17","Authorized to Open",
CRSA1347978,MISSISSAUGA,"Hibuzz Cannabis","30 EGLINTON AVE W UNIT 17","Authorized to Open",https://www.hibuzz.ca
CRSA1197214,BARRIE,"SPIRITLEAF PARK PLACE","120 PARK PLACE BOULEVARD UNIT 1 BUILDING 3","Authorized to Open",https://spiritleaf.ca/collections/spiritleaf-park-place
CRSA1269976,ORANGEVILLE,"Altered Nation Cannabis","218 BROADWAY","Authorized to Open",https://www.alterednationcannabis.com
CRSA1172694,BEAMSVILLE,"T CANNABIS","4322 ONTARIO STREET UNIT 3","Authorized to Open",https://tcann.ca/
CRSA1172462,KINGSTON,"Calyx + Trichomes","1105 MIDLAND AVE UNITS 4 - 5","Authorized to Open",
