Permit Number,StatusDesc,City,Operating Name,Street Address,Website,Last Updated
R1500-2027,Active,Kindersley,Wild West Weed Co. - Kindersley,1015 Main St.,N/A,2025-10-28
R1218-2027,Active,Regina Beach,Wiid Boutique Inc. - Regina Beach,116 Centre St,www.wiidsk.ca,2025-10-28
R1155-2026,Active,Lumsden,Wiid Boutique Inc. - Lumsden,1-215  James St N,www.wiidsk.ca,2025-10-28
R1039-2027,Active,Regina,Wiid Boutique Inc - Regina,4554 Albert St,www.wiidsk.ca,2025-10-28
R1241-2027,Active,Regina,Wiid Boutique - Regina ,2747 Quance St,www.wiidsk.ca,2025-10-28
R1352-2028,Active,Regina,Wiid Boutique - Regina,1A-1846 Scarth St,www.wiidsk.ca,2025-10-28
R1291-2027,Active,Regina,Wiid Boutique  - Regina,4305 Rochdale Blvd,www.wiidsk.ca,2025-10-28
R1163-2026,Active,Rosetown,Weed Pool Rosetown - Rosetown,403 Colwell Rd,www.wpstores.ca,2025-10-28
R1576-2028,Active,Warman,Value Buds - Warman,900 Centennial Blvd.,,2025-10-28
R1100-2028,Active,Swift Current,Value Buds - Swift Current,2-212 Central Ave N,N/A,2025-10-28
R1213-2027,Active,Saskatoon,Value Buds - Saskatoon,45-137 Gibson Bnd,N/A,2025-10-28
R1187-2027,Active,Saskatoon,Value Buds - Saskatoon,15-7 Assiniboine Dr,N/A,2025-10-28
R1235-2027,Active,Turtleford,Unwind - Turtleford,207 Main St,N/A,2025-10-28
R1415-2025,Active,Shell Lake,Uncle's Cannabis - Shell Lake,201 Main St,N/A,2025-10-28
R1379-2028,Active,Watrous,Tumbleweed Cannabis - Watrous,101 Main St,N/A,2025-10-28
R1274-2027,Active,Saskatoon,Tumbleweed Cannabis - Saskatoon,B-815 Gray Ave,www.tumbleweedgray.ca,2025-10-28
R1378-2028,Active,Rosthern,Tumbleweed Cannabis - Rosthern,110 Saskatchewan Dr,N/A,2025-10-28
R1459-2026,Active,Macklin,Tumbleweed Cannabis - Macklin,"Lot 1, BLK B, Plan 102173621",N/A,2025-10-28
R1536-2027,Active,Leask,Tumbleweed Cannabis - Leask,NW 1-4 Sec-07 TWP 47 RGE5-W3M,N/A,2025-10-28
R1296-2028,Active,Kerrobert,Tumbleweed Cannabis - Kerrobert,310 McPherson St,N/A,2025-10-28
R1529-2027,Active,Chamberlain,Tumbleweed Cannabis - Chamberlain,#211  1st St. Highway 11,N/A,2025-10-28
