"REF_DATE","GEO","DGUID","Value","Type of cannabis","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021/2022","Canada","2021A000011124","Value of sales","Total cannabis products","Dollars","81","thousands","3","v1490436660","1.1.1","4027928","","","","0"
"2021/2022","Canada","2021A000011124","Value of sales","Dried cannabis","Dollars","81","thousands","3","v1490436647","1.1.2","2861838","","","","0"
"2021/2022","Canada","2021A000011124","Value of sales","Inhaled cannabis extracts","Dollars","81","thousands","3","v1490436648","1.1.3","729178","","","","0"
"2021/2022","Canada","2021A000011124","Value of sales","Ingested cannabis extracts","Dollars","81","thousands","3","v1490436649","1.1.4","158283","","","","0"
"2021/2022","Canada","2021A000011124","Value of sales","Solid cannabis edibles","Dollars","81","thousands","3","v1490436650","1.1.5","166336","","","","0"
"2021/2022","Canada","2021A000011124","Value of sales","Cannabis beverages","Dollars","81","thousands","3","v1490436651","1.1.6","59556","","","","0"
"2021/2022","Canada","2021A000011124","Value of sales","Topicals, seeds, and other cannabis products","Dollars","81","thousands","3","v1490436652","1.1.7","52737","","","","0"
"2021/2022","Canada","2021A000011124","Value of sales per capita","Total cannabis products","Dollars","81","units","0","v1490436653","1.3.1","132","","","","0"
"2021/2022","Canada","2021A000011124","Value of sales per capita","Dried cannabis","Dollars","81","units","0","v1490436654","1.3.2","94","","","","0"
"2021/2022","Canada","2021A000011124","Value of sales per capita","Inhaled cannabis extracts","Dollars","81","units","0","v1490436655","1.3.3","24","","","","0"
"2021/2022","Canada","2021A000011124","Value of sales per capita","Ingested cannabis extracts","Dollars","81","units","0","v1490436656","1.3.4","5","","","","0"
"2021/2022","Canada","2021A000011124","Value of sales per capita","Solid cannabis edibles","Dollars","81","units","0","v1490436657","1.3.5","5","","","","0"
"2021/2022","Canada","2021A000011124","Value of sales per capita","Cannabis beverages","Dollars","81","units","0","v1490436658","1.3.6","2","","","","0"
"2021/2022","Canada","2021A000011124","Value of sales per capita","Topicals, seeds, and other cannabis products","Dollars","81","units","0","v1490436659","1.3.7","2","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Value of sales","Total cannabis products","Dollars","81","thousands","3","v1490436661","2.1.1","63125","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Value of sales","Dried cannabis","Dollars","81","thousands","3","v1490436662","2.1.2","53553","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Value of sales","Inhaled cannabis extracts","Dollars","81","thousands","3","v1490436663","2.1.3","2415","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Value of sales","Ingested cannabis extracts","Dollars","81","thousands","3","v1490436664","2.1.4","3100","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Value of sales","Solid cannabis edibles","Dollars","81","thousands","3","v1490436665","2.1.5","3011","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Value of sales","Cannabis beverages","Dollars","81","thousands","3","v1490436666","2.1.6","797","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Value of sales","Topicals, seeds, and other cannabis products","Dollars","81","thousands","3","v1490436667","2.1.7","249","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Value of sales per capita","Total cannabis products","Dollars","81","units","0","v1490436668","2.3.1","147","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Value of sales per capita","Dried cannabis","Dollars","81","units","0","v1490436669","2.3.2","124","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Value of sales per capita","Inhaled cannabis extracts","Dollars","81","units","0","v1490436670","2.3.3","6","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Value of sales per capita","Ingested cannabis extracts","Dollars","81","units","0","v1490436671","2.3.4","7","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Value of sales per capita","Solid cannabis edibles","Dollars","81","units","0","v1490436672","2.3.5","7","","","","0"
