StoreName,City,Province,FullProvinceName,Address,PostalCode,Latitude,Longitude
Freedom Cannabis,ACHESON,AB,Alberta,9827 279 ST,T7X 6J4,53.5375984,-113.7866584
13th Floor Cannabis,AIRDRIE,AB,Alberta,1005-401 COOPERS BLVD SW,T4B 4J3,51.2572994,-114.022852
Best Buds Outlet,AIRDRIE,AB,Alberta,4A-1861 MEADOWBROOK DR SE,T4A 1V3,51.2752231,-113.9889691
Bud Mart,AIRDRIE,AB,Alberta,17-1301 8 STREET SW,T4B 0M9,51.2724215,-114.0256044
Bud Mart,AIRDRIE,AB,Alberta,600-705 MAIN ST SW,T4B 3M2,51.2866532,-114.0148087
Canna Cabana,AIRDRIE,AB,Alberta,101-400 MAIN ST NE,T4B 2N1,51.2944558,-114.0126163
Canna Cabana,AIRDRIE,AB,Alberta,6128-403 MACKENZIE WAY SW,T4B 3V7,51.289784,-114.0229406
Plantlife,AIRDRIE,AB,Alberta,117-1800 MARKET ST SE,T4A 0K9,51.2693763,-113.9923108
RARE Cannabis Co.,AIRDRIE,AB,Alberta,5-213 MAIN ST N,T4B 0R6,51.2933721,-114.0140068
Value Buds at Sierra Springs,AIRDRIE,AB,Alberta,130-2765 MAIN ST SW,T4B 3S6,51.266229,-114.0073021
Rock Island Cannabis Inc.,ALBERTA BEACH,AB,Alberta,4925 50 AVENUE,T0E 0A0,53.6755464,-114.3549113
Grass Monkeys Premium Craft Cannabis,ALDERSYDE,AB,Alberta,450153 82 STREET E,T0L 0A0,50.63633,-113.88011
Equilibrium Cannabis,ATHABASCA,AB,Alberta,103-5003 50 AVENUE,T9S 1T2,54.721526,-113.286236
Green Solution Cannabis,ATHABASCA,AB,Alberta,4805 50 ST,T9S 1C8,54.7183221,-113.2860901
Canna Cabana,BANFF,AB,Alberta,215    SUNDANCE MALL L09,T0L 0C0,51.1776221,-115.5710189
Fire & Flower Cannabis Co.,BANFF,AB,Alberta,229 BEAR STREET,T1L 1C3,51.1782727,-115.5727228
